Date;Machine;Bird ID;Mass Tissue;OB Chamber;Baseline;Oligo;CCCP;AA;Routine;OxPhos;Leak;ETS;FCR1;FCR2;FCR3;Routine/mg;OxPhops/mg;Leak/mg;ETS/mg;AA/mg;Batch 
25.05.23;P2;CS39645;14,38;A;40,4354;30,2183;45,111;6,6671;33,7683;10,2171;23,5512;38,4439;0,697435168;0,612612144;0,878378624;2,348282337;0,71050765;1,637774687;2,673428373;0,463636996;1
25.05.23;P2;CS39646;6,54;B;15,8137;13,9485;16,3408;3,7304;12,0833;1,8652;10,2181;12,6104;0,845638195;0,810291505;0,958201167;1,847599388;0,285198777;1,562400612;1,928195719;0,570397554;1
25.05.23;P1;CS39647;4,35;A;14,1134;11,6024;14,8927;3,4634;10,65;2,511;8,139;11,4293;0,764225352;0,712117103;0,931815597;2,448275862;0,577241379;1,871034483;2,627425287;0,796183908;1
25.05.23;P1;CS39648;14,57;B;38,1961;21,8148;47,0356;7,8663;30,3298;16,3813;13,9485;39,1693;0,459894229;0,356107972;0,774325811;2,081660947;1,12431709;0,957343857;2,68835278;0,539897049;1
25.05.23;P2;CS39649;16,7;A;29,1793;16,7976;37,1451;5,15;24,0293;12,3817;11,6476;31,9951;0,484724898;0,364043244;0,751030627;1,43888024;0,741419162;0,697461078;1,915874251;0,308383234;1
25.05.23;P2;CS39650;4,35;B;10,3803;8,9205;12,6104;3,0816;7,2987;1,4598;5,8389;9,5288;0,799991779;0,612763412;0,765962136;1,677862069;0,335586207;1,342275862;2,190528736;0,708413793;1
27.05.23;P2;C4A1903;15,41;A;47,1024;28,2268;51,9945;4,8488;42,2536;18,8756;23,378;47,1457;0,553278301;0,495867067;0,896234439;2,741959766;1,224892927;1,51706684;3,059422453;0,314652823;1
27.05.23;P2;C4A1904;13,08;B;38,4394;25,2208;52,3068;4,0954;34,344;13,2186;21,1254;48,2114;0,61511181;0,43818267;0,712362636;2,625688073;1,01059633;1,615091743;3,68588685;0,313103976;1
27.05.23;P1;C4A1905;13,22;A;32,1232;21,1268;36,1061;5,022;27,1012;10,9964;16,1048;31,0841;0,594246749;0,518104111;0,871866967;2,050015129;0,831800303;1,218214826;2,351293495;0,379878971;1
27.05.23;P1;C4A1911;7,18;B;16,6652;14,8405;21,3282;3,8115;12,8537;1,8247;11,029;17,5167;0,858040875;0,629627727;0,733796891;1,790208914;0,25413649;1,536072423;2,439651811;0,530849582;1
27.05.23;P2;C4A1907;12,96;A;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;#DIV/0!;0;0;0;0;0;1
27.05.23;P2;C4A1906;21,01;B;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;#DIV/0!;0;0;0;0;0;1
27.05.23;P1;C4A1909;7,53;A;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;#DIV/0!;0;0;0;0;0;1
27.05.23;P1;C4A1910;2,75;B;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;#DIV/0!;0;0;0;0;0;1
28.05.23;P2;C4A1927;26,38;A;30,0451;19,6549;39,786;5,0652;24,9799;10,3902;14,5897;34,7208;0,584057582;0,420200571;0,719450589;0,946925701;0,393866566;0,553059136;1,316178923;0,192009098;1
28.05.23;P2;C4A1926;12,3;B;30,1676;19,017;32,5194;5,5956;24,572;11,1506;13,4214;26,9238;0,546207065;0,498495755;0,912649775;1,997723577;0,906552846;1,091170732;2,188926829;0,454926829;1
28.05.23;P1;C4A1925;26,51;A;18,0963;13,9402;22,036;4,3293;13,767;4,1561;9,6109;17,7067;0,698111426;0,54278324;0,777502301;0,519313467;0,156774802;0,362538665;0,667925311;0,163308186;1
28.05.23;P1;C4A1924;25,44;B ;24,8964;19,3008;30,6542;5,7578;19,1386;5,5956;13,543;24,8964;0,707627517;0,543974229;0,768729616;0,752303459;0,21995283;0,532350629;0,978632075;0,226328616;1
28.05.23;P2;C4A1912;12,21;A;21,1268;17,8366;25,9756;5,2817;15,8451;3,2902;12,5549;20,6939;0,79235221;0,606695693;0,765689406;1,297714988;0,269467649;1,028247338;1,694832105;0,432571663;1
28.05.23;P2;C4A1913;17,27;B;21,4093;16,2192;25,383;5,92;15,4893;5,1901;10,2992;19,463;0,664923528;0,529168165;0,795833119;0,896890562;0,300526925;0,596363636;1,126983208;0,342790967;1
28.05.23;P1;C4A1914;10,65;A;16,6244;13,5073;19,525;4,7622;11,8622;3,1171;8,7451;14,7628;0,737224124;0,592374075;0,803519658;1,113821596;0,292685446;0,82113615;1,386178404;0,44715493;1
28.05.23;P1;C4A1915;7,02;B;11,2723;9,5693;14,354;4,0548;7,2175;1,703;5,5145;10,2992;0,764045722;0,535429936;0,700782585;1,028133903;0,242592593;0,785541311;1,467122507;0,577606838;1
28.05.23;P2;C4A1929;10,91;A;16,711;14,7195;19,222;4,7622;11,9488;1,9915;9,9573;14,4598;0,833330544;0,688619483;0,826346146;1,095215399;0,182538955;0,912676444;1,325371219;0,436498625;1
28.05.23;P2;C4A1931;8,86;B;15,5704;11,5967;16,6246;4,2981;11,2723;3,9737;7,2986;12,3265;0,647480993;0,592106437;0,91447694;1,272268623;0,448498871;0,823769752;1,391252822;0,485112867;1
28.05.23;P1;C4A1932;8,47;A;13,161;10,1738;14,8927;4,2427;8,9183;2,9872;5,9311;10,65;0,665048272;0,556910798;0,837399061;1,052927981;0,352680047;0,700247934;1,257378985;0,500909091;1
28.05.23;P1;C4A1917;11,93;B;14,6783;10,8668;15,7326;4,7847;9,8936;3,8115;6,0821;10,9479;0,61475095;0,555549466;0,903698426;0,829304275;0,319488684;0,509815591;0,917678122;0,401064543;1
28.05.23;P2;C4A1918;11,66;A;13,9402;12,5549;14,8494;4,0695;9,8707;1,3853;8,4854;10,7799;0,859655344;0,787150159;0,915657845;0,846543739;0,11880789;0,727735849;0,924519726;0,349013722;1
